user_id,main_genre,year_posted,playtime_hour
--000--,Action,2014,49.15
--ace--,Action,2014,21.15
--ionex--,Action,2013,591.3
--ionex--,Action,2015,14.033333333333333
-2SV-vuLB-Kg,Action,2014,515.9166666666666
-2SV-vuLB-Kg,Strategy,2014,6.366666666666666
-Azsael-,Indie,2013,198.15
-Beave-,Action,2014,47.733333333333334
-Kenny,Action,2013,214.03333333333333
-Mad-,Action,2013,57.66666666666667
-PRoSlayeR-,Action,2015,23.983333333333334
-SEVEN-,Action,2013,2988.4333333333334
-SatansLittleHelper-,Action,2015,563.7
-Ultrix,Action,2014,95.21666666666667
-Zovix-,Action,2013,680.7
-_PussyDestroyer_-,Action,2014,0.9833333333333333
-_PussyDestroyer_-,Indie,2014,3.35
-kainey9777,Action,2015,164.3
0-3-0,Action,2014,4.916666666666666
00000000000000000001227,Action,2013,59.65
00000000000000000001227,Action,2014,397.06666666666666
00000000000000000001227,Indie,2013,392.68333333333334
001000111000111000010,Action,2013,43.233333333333334
00454211432342,Action,2015,2223.2833333333333
00690069006900,Action,2013,375.18333333333334
0099654321891111,Action,2014,6.616666666666666
00True,Action,2014,2776.9333333333334
01001000-01101001,Action,2014,56.93333333333333
01001000-01101001,Adventure,2014,49.483333333333334
01001000-01101001,Strategy,2013,114.3
011011010111001000101110,Action,2015,15.716666666666667
011111135489484797,Action,2013,7.266666666666667
01189958889189157253,Action,2013,1.0333333333333334
01189958889189157253,Action,2014,18.85
01189958889189157253,Indie,2013,559.1166666666667
01221733,Free to Play,2015,1.7666666666666666
0136849195,Action,2013,7.116666666666666
022899,Action,2013,216.73333333333332
022899,Strategy,2013,786.1666666666666
04061993,Action,2013,146.93333333333334
04061993,Action,2015,50.016666666666666
04061993,Adventure,2013,10.116666666666667
04092013,Action,2013,0.5166666666666667
042153100,Action,2014,143.11666666666667
04280122,Action,2013,32.71666666666667
0432-026-no,Action,2014,111.81666666666666
05461025,Action,2015,16.633333333333333
0700464574757,Action,2015,24.166666666666668
07846813956825,Action,2014,229.21666666666667
0896398616,Action,2014,75.13333333333334
0903512455,Action,2015,7.483333333333333
09106,Action,2014,85.93333333333334
09106,Casual,2013,25.516666666666666
09106,Casual,2015,87.58333333333333
09106,Indie,2013,4.833333333333333
091263,Action,2013,8.433333333333334
091263,Action,2014,22.55
091263,Adventure,2013,4.5
091263,Casual,2013,0.7
095732,Action,2013,276.3666666666666
095732,Casual,2015,0.55
09876543231,Action,2014,95.8
098766catdogbnmnnn,Action,2013,137.65
098766catdogbnmnnn,Action,2015,1140.9
10000000thVisitor,Casual,2015,39.266666666666666
1001101001110101,Action,2014,9.883333333333333
10051997,Action,2014,1026.6833333333334
101010101111,Indie,2014,48.6
1011001,Action,2014,707.9166666666667
1011001,Action,2015,3.9166666666666665
1011001,Adventure,2013,9.866666666666667
102598615,Action,2014,256.2
10936543792,Action,2013,16.633333333333333
10936543792,Action,2014,3.9833333333333334
10Degree,Action,2015,428.8833333333333
10Degree,Casual,2015,3.316666666666667
10Degree,Indie,2015,212.55
110211021,Action,2013,306.5833333333333
111190869,Action,2015,54.53333333333333
111zerosen,Action,2014,259.96666666666664
1122305938,Action,2014,54.46666666666667
113595,Action,2013,332.43333333333334
113595,Action,2014,7.3
11567jj,Action,2013,17.4
117arbiter,Action,2014,387.81666666666666
117arbiter,Action,2015,238.35
117arbiter,Indie,2015,1.8833333333333333
119922883377446655123456789,Action,2015,75.08333333333333
11XGX,Action,2014,6.516666666666667
11XGX,Action,2015,23.1
120488700,Indie,2013,421.4
1212343456567878909,Action,2015,571.3333333333334
12125,Action,2013,54.266666666666666
123123123131231231,Action,2014,65.46666666666667
12312312332123,Action,2013,33.0
12312312332123,Action,2015,1011.6333333333333
123232343432555686888554456555,Action,2014,10.45
12332165478953761,Action,2013,52.81666666666667
12345676543456789098543,Free to Play,2013,747.1166666666667
